"time","x","y","der(x)","der(y)","s",
10,-0.8390148473440419,-0.5438851397795049,0.5438851397795049,-0.8390148473440419,0,
10.02,-0.8279702597905417,-0.5605552652177892,0.5605552652177892,-0.8279702597905417,0,
10.04,-0.8165956698770199,-0.5769995356137382,0.5769995356137382,-0.8165956698770199,0,
10.06,-0.8048951619230498,-0.5932121654235014,0.5932121654235014,-0.8048951619230498,0,
10.08,-0.7928727586620483,-0.6091876546686431,0.6091876546686431,-0.7928727586620483,0,
10.1,-0.7805333178057063,-0.624919552005344,0.624919552005344,-0.7805333178057063,0,
10.12,-0.7678815609789394,-0.6404018437623122,0.6404018437623122,-0.7678815609789394,0,
10.14,-0.7549226183575529,-0.655628413040089,0.655628413040089,-0.7549226183575529,0,
10.16,-0.7416608263885165,-0.670594022970661,0.670594022970661,-0.7416608263885165,0,
10.18,-0.7281018712386499,-0.6852922259097981,0.6852922259097981,-0.7281018712386499,0,
10.2,-0.7142510554708154,-0.6997168822469992,0.6997168822469992,-0.7142510554708154,0,
10.22,-0.7001139593123088,-0.7138620150562562,0.7138620150562562,-0.7001139593123088,0,
10.23999999999999,-0.6856968253436687,-0.7277215325191743,0.7277215325191743,-0.6856968253436687,0,
10.25999999999999,-0.6710050865231806,-0.7412894533838175,0.7412894533838175,-0.6710050865231806,0,
10.27999999999999,-0.6560452520680569,-0.7545608015506637,0.7545608015506637,-0.6560452520680569,0,
10.29999999999999,-0.6408230279659638,-0.7675295659284104,0.7675295659284104,-0.6408230279659638,0,
10.31999999999999,-0.6253447192824518,-0.7801911170122138,0.7801911170122138,-0.6253447192824518,0,
10.33999999999999,-0.6096164633829185,-0.7925403323659145,0.7925403323659145,-0.6096164633829185,0,
10.35999999999999,-0.5936444541859773,-0.8045722017654158,0.8045722017654158,-0.5936444541859773,0,
10.37999999999999,-0.5774352350848401,-0.8162826357845564,0.8162826357845564,-0.5774352350848401,0,
10.39999999999999,-0.5609951634274507,-0.8276670031788528,0.8276670031788528,-0.5609951634274507,0,
10.41999999999999,-0.5443308273637366,-0.8387202459931224,0.8387202459931224,-0.5443308273637366,0,
10.43999999999999,-0.5274488477847015,-0.8494379865302979,0.8494379865302979,-0.5274488477847015,0,
10.45999999999999,-0.5103559480996317,-0.8598157280482347,0.8598157280482347,-0.5103559480996317,0,
10.47999999999999,-0.4930589390598474,-0.8698490286047869,0.8698490286047869,-0.4930589390598474,0,
10.49999999999999,-0.4755647078771804,-0.8795341792700613,0.8795341792700613,-0.4755647078771804,0,
10.51999999999999,-0.4578802180028743,-0.8888682179070465,0.8888682179070465,-0.4578802180028743,0,
10.53999999999999,-0.4400125412028065,-0.8978469300200591,0.8978469300200591,-0.4400125412028065,0,
10.55999999999999,-0.4219688256948368,-0.9064668346573747,0.9064668346573747,-0.4219688256948368,0,
10.57999999999999,-0.4037562855647731,-0.9147244795309059,0.9147244795309059,-0.4037562855647731,0,
10.59999999999999,-0.3853821429856172,-0.9226160640531103,0.9226160640531103,-0.3853821429856172,0,
10.61999999999999,-0.3668538144601403,-0.9301386543882132,0.9301386543882132,-0.3668538144601403,0,
10.63999999999999,-0.3481787559462712,-0.9372891730463689,0.9372891730463689,-0.3481787559462712,0,
10.65999999999999,-0.3293644954374848,-0.9440646827380572,0.9440646827380572,-0.3293644954374848,0,
10.67999999999999,-0.3104182827385299,-0.9504628263855225,0.9504628263855225,-0.3104182827385299,0,
10.69999999999999,-0.2913478796434696,-0.9564808343664049,0.9564808343664049,-0.2913478796434696,0,
10.71999999999998,-0.2721609619749664,-0.9621162757739347,0.9621162757739347,-0.2721609619749664,0,
10.73999999999998,-0.252865273553959,-0.9673668649739741,0.9673668649739741,-0.252865273553959,0,
10.75999999999998,-0.2334683103532041,-0.9722305595919558,0.9722305595919558,-0.2334683103532041,0,
10.77999999999998,-0.2139779131067878,-0.9767053766640856,0.9767053766640856,-0.2139779131067878,0,
10.79999999999998,-0.1944019587833167,-0.9807894883534619,0.9807894883534619,-0.1944019587833167,0,
10.81999999999998,-0.1747483385546253,-0.9844812287849745,0.9844812287849745,-0.1747483385546253,0,
10.83999999999998,-0.1550247762653716,-0.9877791849176677,0.9877791849176677,-0.1550247762653716,0,
10.85999999999998,-0.1352391225845436,-0.9906820592719584,0.9906820592719584,-0.1352391225845436,0,
10.87999999999998,-0.1153994026212318,-0.9931886477086057,0.9931886477086057,-0.1153994026212318,0,
10.89999999999998,-0.09551360236373667,-0.9952979390919705,0.9952979390919705,-0.09551360236373667,0,
10.91999999999998,-0.07558961409433154,-0.9970091000468415,0.9970091000468415,-0.07558961409433154,0,
10.93999999999998,-0.05563528015893533,-0.9983214679204749,0.9983214679204749,-0.05563528015893533,0,
10.95999999999998,-0.03565871267666257,-0.9992344993747673,0.9992344993747673,-0.03565871267666257,0,
10.97999999999998,-0.01566794672090429,-0.9997478261531434,0.9997478261531434,-0.01566794672090429,0,
10.99567016601561,-1.68931656715078e-07,-0.9998366893904911,0.9998366893904911,-1.68931656715078e-07,0,
10.99567077636717,4.4132688458147e-07,-0.9998366928517062,0.9998366928517062,4.4132688458147e-07,1,
10.99999999999998,0.004328941694566986,-0.9998273212417158,0.9998273212417158,0.004328941694566986,1,
11.01999999999998,0.02432260414432316,-0.9995408069105449,0.9995408069105449,0.02432260414432316,1,
11.03999999999998,0.04430535548876766,-0.9988545587030511,0.9988545587030511,0.04430535548876766,1,
11.05999999999998,0.0642702650790664,-0.9977688542060016,0.9977688542060016,0.0642702650790664,1,
